"","SID31004","SID31009","SID31021","SID31030","SID31071","SID31112","SID31129","SID31137","SID31159","SID31160","SID31188","SID31219","SID31223","SID31233","SID31236","SID31237","SID31256","SID31267","SID31275","SID31276","SID31282","SID31285","SID31300","SID31328","SID31333","SID31337","SID31343","SID31360","SID31367","SID31379","SID31398","SID31416","SID31424","SID31428","SID31431","SID31446","SID31449","SID31450","SID31452","SID31455","SID31477","SID31489","SID31493","SID31501","SID31512","SID31519","SID31537","SID31549","SID31557","SID31582","SID31637","SID31685","SID31700","SID31705","SID31711","SID31714","SID31723","SID31749","SID31750","SID31766","SID31865","SID31866","SID31868","SID31870","SID31871","SID31872","SID31873","SID31874","SID31875","SID31876","SID31877","SID31878","SID31879","SID31880","SID31881","SID31883","SID31884","SID530002","SID530018","SID530026","SID530028","SID530039","SID530041","SID530050","SID530052","SID530054","SID530055","SID530074","SID530075","SID530119","SID530142","SID530154","SID530163","SID530167","SID530168","SID530172","SID530177","SID530185","SID530215","SID530227","SID530251","SID530258","SID530262","SID530295","SID530297","SID530315","SID530323","SID530331","SID530348","SID530364","SID530368","SID530373","SID530394","SID530398","SID530403","SID530444","SID530450","SID530451","SID530558","SID530600","SID530623","SID530697","SID530705","SID530743","SID530756","SID530840","SID530867","SID530890","SID531128","SID531155","SID531248","SID531274","SID531277","SID531281","SID531333","SID531352","SID531361","SID531382","SID531403","SID531414","SID531416","SID531424","SID531469","SID531663","SID531766","SID531775","SID532305","SID532749","SID532779","SID532796","SID532802","SID532826","SID532832","SID532915","FeatureID"
"Terrisporobacter othiniensis",0,0,0,0,0,5353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Terrisporobacter othiniensis"
"Lachnospira pectinoschiza",0,0,0,0,0,4926,0,0,478,102924,11593,0,124678,0,5253,0,0,0,42938,690636,0,144946,0,0,0,0,0,101390,7116,0,422971,0,0,22116,160477,35262,8003,0,364909,83484,0,6150,10706,0,4487,156321,0,5709,0,277,0,9610,0,0,0,0,0,0,0,61016,76963,21135,78821,0,11395,39426,110359,1645699,1416043,163382,0,86949,3798,0,219708,121076,0,0,2030,0,0,10332,26062,113063,0,9600,198408,0,21789,0,688296,0,0,60308,101524,0,0,0,307,0,0,0,183986,235717,1029499,0,11303,522261,0,0,0,2447703,310342,80022,484,105220,0,42218,0,23137,168642,0,0,223782,0,136783,2350541,0,95618,5448,0,234,17288,0,37688,34737,155661,0,0,0,5630,0,0,0,1338421,0,0,0,0,0,1464,0,0,20942,"Lachnospira pectinoschiza"
"Prevotella copri",0,0,0,0,0,4728,14145,0,1439,0,797329,0,299600,0,0,588240,0,0,157092,418526,0,17815,0,0,0,0,0,0,331008,9372,0,0,0,12390,0,13545,0,0,0,1648676,349488,762051,791442,0,0,0,9832,9919,0,5875,0,10644,0,0,0,21595,0,0,0,0,3471,538649,12268554,40655,929,33375,0,696,0,10089,3771,301505,0,0,406209,20154936,4830,0,0,81526,0,432693,0,0,0,1821,0,0,0,0,10999,220,0,18914,0,0,0,0,0,0,0,0,15063,19766,9562,92252,0,0,0,0,0,0,0,0,4354,544391,0,414456,1862,7237809,0,0,0,2728591,0,0,0,0,1454213,54100,38407914,248691,9507,1308,11870,7655,34040237,0,7455,0,4423,0,11905,0,28645,9804,0,0,0,0,0,0,0,0,"Prevotella copri"
"Phocaeicola massiliensis",0,0,0,0,0,4118,0,0,0,0,0,0,0,0,109039,0,2117,7427,0,0,98577,0,0,136237,0,0,0,0,9912,209061,5012,0,0,0,20931,0,16852,440709,0,88852,0,0,3653,0,0,3410,0,25094,0,0,0,0,9079,0,0,0,0,0,27664,0,591,0,47934,0,0,0,63430,0,21990,177658,808544,0,0,526178,165015,210693,0,0,0,0,271111,0,18896,0,0,0,0,0,0,0,19437,0,0,0,0,0,0,233965,0,0,0,18593,44689,73443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279407,0,0,0,0,0,1183549,160119,0,3867,19179,0,345067,1711,0,0,0,0,829,55774,202922,4914,0,0,1466730,239,514728,55247,0,0,0,0,0,213210,"Phocaeicola massiliensis"
"Enterocloster asparagiformis",0,0,0,0,0,2471,0,0,0,0,0,0,0,0,0,0,0,0,9443,0,0,0,0,0,0,22653,0,0,0,0,2594,0,0,0,0,16222,0,7725,0,0,0,0,0,187540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4132,0,0,0,0,0,21167,527,0,0,0,1049,0,0,0,0,0,0,0,0,0,6050,0,0,1693,0,0,1527,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7910,0,0,0,0,0,2477,0,7285,316,0,0,6929,0,0,0,0,0,20463,0,0,0,0,0,0,1429,"Enterocloster asparagiformis"
"Limosilactobacillus pontis",0,0,0,0,0,2415,0,0,0,0,0,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Limosilactobacillus pontis"
"Anaerofilum sp. An201",0,0,0,0,0,2318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,0,0,0,0,131,0,0,0,0,2144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,1806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Anaerofilum sp. An201"
"Bacteroides clarus",0,0,0,0,0,1744,0,0,0,9509,0,0,0,0,0,0,55307,0,3779,0,10260,0,0,0,0,0,0,0,29429,776,7200,0,0,0,0,0,34611,0,0,2905,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19997,0,0,0,47902,0,0,0,0,0,25905,795482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78366,204011,0,37113,0,0,0,0,0,0,0,0,101079,0,0,0,0,8233,0,0,0,0,0,0,0,0,0,1131852,0,0,0,0,0,0,0,0,0,0,31469,0,0,0,0,0,0,17050,0,0,0,0,0,0,0,0,47715,41045,12704,0,0,0,0,0,0,292032,0,0,0,0,180561,"Bacteroides clarus"
"Abiotrophia sp. HMSC24B09",0,0,0,0,0,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3313,0,0,0,0,0,0,0,0,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abiotrophia sp. HMSC24B09"
"Streptococcus sp. M334",0,0,0,0,0,646,1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus sp. M334"
"Enterocloster aldenensis",0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,3253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2104,0,2338,0,0,0,0,0,19788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8002,0,4180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,9604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5146,0,0,0,843,0,268,0,0,0,0,0,0,0,0,0,0,0,0,3238,0,450,0,1272,0,0,168,0,4595,1234,0,0,0,1315,0,0,"Enterocloster aldenensis"
"Clostridium sp. 7_2_43FAA",0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clostridium sp. 7_2_43FAA"
"Lactococcus garvieae",0,0,0,0,0,0,23098,0,0,0,0,45623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776,0,0,0,0,0,0,0,10892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7341,0,0,0,0,0,0,144938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189064,2311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2956,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lactococcus garvieae"
"Propionibacterium acidifaciens",0,0,0,0,0,0,12521,0,0,0,0,0,0,0,0,22881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4199,0,0,10847,1129,0,3209,0,0,0,0,101,0,0,7605,1452,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,5165,1382,0,0,0,0,0,0,0,0,0,0,789,0,0,0,3135,0,1867,18885,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4787,0,17506,0,0,0,0,2949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Propionibacterium acidifaciens"
"Megamonas funiformis CAG:377",0,0,0,0,0,0,7836,0,0,0,0,0,0,0,47016,1048,0,0,0,119,0,0,0,7865,0,0,0,2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88391,0,0,0,0,0,0,0,0,0,0,0,9737,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176214,0,0,0,0,0,0,0,0,0,0,45035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Megamonas funiformis CAG:377"
"Amedibacillus dolichus",0,0,0,0,0,0,6058,0,0,0,0,0,0,0,0,0,0,0,21874,0,0,0,0,0,0,0,0,0,0,0,27830,0,0,0,0,0,3642,0,0,0,0,0,1277,0,0,6650,0,0,0,0,0,4733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,0,0,0,0,8384,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2717,0,0,0,0,0,0,0,0,0,0,0,0,146613,0,0,0,0,0,0,0,0,0,0,0,0,0,6548,64756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Amedibacillus dolichus"
"Harryflintia acetispora",0,0,0,0,0,0,5471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12126,0,0,0,22819,0,0,0,0,0,0,5007,0,1005,0,0,0,10380,0,0,0,0,0,0,0,0,0,0,0,0,0,886,0,1643,0,0,30206,1247,0,0,0,0,1944,0,0,722,7218,0,0,0,0,0,0,0,22138,6639,1349,0,0,21472,5338,2750,0,4075,5688,679,0,0,3854,1284,3520,8612,0,0,0,0,0,6616,57780,0,3209,0,0,2306,0,3322,37848,0,0,0,0,0,11201,0,0,0,2533,"Harryflintia acetispora"
"Eubacterium dolichum CAG:375",0,0,0,0,0,0,5467,0,0,0,0,0,0,0,0,0,0,0,11240,0,0,0,0,0,0,0,0,0,0,0,30091,0,0,0,0,0,3978,0,0,0,0,0,1295,0,0,8258,0,0,0,0,0,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1808,0,0,0,0,0,12543,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3925,0,0,0,0,0,0,0,0,0,0,0,0,133756,0,0,0,0,0,0,0,0,0,0,0,0,0,3515,66135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eubacterium dolichum CAG:375"
"Megamonas hypermegale",0,0,0,0,0,0,3952,0,0,0,0,0,0,0,23569,2052,0,0,0,764,0,0,0,0,0,0,0,9132,0,0,9158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153353,0,0,0,5146,0,0,0,0,0,0,23528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89276,0,0,0,0,65143,0,0,0,0,0,0,0,0,0,0,0,0,"Megamonas hypermegale"
"Megasphaera sp. DISK 18",0,0,0,0,0,0,3588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339949,0,0,0,0,0,0,0,0,6294,0,"Megasphaera sp. DISK 18"
"Blautia producta",0,0,0,0,0,0,3559,91182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12072,0,0,0,0,0,0,0,0,0,0,5902,0,0,0,0,0,237853,0,0,1973,0,50309,0,0,0,0,0,16266,0,0,0,0,15631,17587,0,0,0,0,13375,0,0,0,0,0,0,0,0,0,10359,0,36481,0,0,0,0,0,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12751,0,0,0,0,0,0,0,0,0,1171,0,0,0,0,0,0,0,0,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14156,0,0,0,0,280,4910,0,1993,0,0,126,0,33298,0,0,0,16598,0,0,"Blautia producta"
"Megamonas funiformis",0,0,0,0,0,0,2912,0,0,0,0,0,0,0,26651,2041,0,0,0,1134,0,0,0,3460,0,0,0,25976,2349,0,0,0,0,0,0,0,0,0,0,0,0,0,4480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165,40642,0,0,0,0,0,0,0,0,0,0,0,20049,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,197258,0,0,0,0,0,0,0,0,0,0,146445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Megamonas funiformis"
"Streptococcus sp. NLAE-zl-C503",0,0,0,0,0,0,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus sp. NLAE-zl-C503"
"Bifidobacterium breve",0,0,0,0,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3521049,18178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208180,6785,0,0,0,0,0,0,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,0,0,191228,0,0,0,17409829,0,32562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bifidobacterium breve"
"Actinomyces massiliensis",0,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,5510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,0,0,0,0,0,0,0,0,8190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,143,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinomyces massiliensis"
"Phascolarctobacterium faecium",0,0,0,0,0,0,810,0,0,0,0,0,0,0,189934,0,0,0,0,0,0,0,0,124203,0,0,9223,0,0,0,0,0,0,0,0,0,4871,392688,0,0,0,0,0,0,0,0,0,3030,0,0,0,0,9819,0,0,0,0,0,0,17164,0,0,0,3051,0,0,316958,0,0,0,0,1482,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,85040,0,0,0,0,0,0,0,180855,0,0,0,0,0,201,1190,0,0,0,0,0,0,0,376494,13690,0,0,0,0,596,0,34503,0,0,0,0,0,0,0,0,235513,0,0,0,0,0,0,0,0,0,0,0,0,0,9091,"Phascolarctobacterium faecium"
"Arachnia propionica",0,0,0,0,0,0,753,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,1146,591,0,0,101,0,0,0,0,0,0,0,0,663,0,0,1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Arachnia propionica"
"Acidaminococcus intestini",0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60020,0,0,0,0,0,0,35848,0,0,0,0,0,0,3197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94226,0,0,90142,0,0,0,1262307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94177,0,0,0,0,0,0,20871,0,0,0,0,0,0,0,0,0,0,0,1017467,0,0,12262,0,0,0,0,0,45145,0,0,66607,0,0,0,0,351,0,0,0,395819,0,0,0,138274,"Acidaminococcus intestini"
"Lactonifactor longoviformis",0,0,0,0,0,0,0,170035,0,0,0,0,0,0,0,0,834,0,0,0,0,0,0,0,0,31818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5005,0,0,5015,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,1198,0,2633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3402,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,5523,0,0,0,708,0,0,0,0,0,0,0,0,0,0,0,71,0,0,"Lactonifactor longoviformis"
"Rikenella microfusus",0,0,0,0,0,0,0,135375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rikenella microfusus"
"Clostridium sp. D5",0,0,0,0,0,0,0,68394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,2232,0,0,0,0,0,0,0,0,0,6261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7368,0,0,222,0,941,0,0,0,0,0,0,0,0,2294,0,0,"Clostridium sp. D5"
"Lacrimispora saccharolytica",0,0,0,0,0,0,0,36914,0,0,0,0,0,0,69279,0,0,0,0,0,1159,88396,0,10877,0,0,0,0,0,0,0,0,185,41195,16622,0,0,0,7929,0,0,1659,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,404,882,0,0,0,0,21255,1221,0,38119,1751,0,0,4327,13610,0,0,0,4709,49364,0,0,0,0,0,0,0,0,2756,0,0,0,0,0,0,0,0,0,0,0,0,0,458,62,0,0,0,0,103,0,0,0,0,0,0,11059,0,0,0,0,0,0,33947,0,0,32058,9649,0,0,0,0,0,118814,0,8742,0,32697,964,132711,0,3376,0,0,0,131903,0,0,0,91550,61356,96552,770072,15384,442,0,0,0,0,"Lacrimispora saccharolytica"
"Faecalicatena orotica",0,0,0,0,0,0,0,13567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Faecalicatena orotica"
"Firmicutes bacterium CAG:94",0,0,0,0,0,0,0,13208,0,0,0,2761,0,0,20761,0,0,0,0,0,5510,1056549,58949,43660,0,0,0,0,0,0,576,50958,0,0,287365,0,3178,0,311243,87992,0,56672,1553,0,0,0,0,8830,0,109306,0,0,27444,0,0,0,2902,133291,0,7600,1051,23017,14022,0,0,9172,74458,21261,6927,0,346607,7882,0,0,0,4327,59747,0,0,731,6077,0,11792,53112,0,71203,47323,0,0,0,0,0,0,387173,0,0,0,7527,8366,229251,0,0,0,0,1703,0,1829,0,0,14289,14609,322601,77049,0,0,0,345131,0,226841,106346,99279,43471,195263,0,295393,39342,144887,0,136116,0,3123,928,41251,0,0,232891,1242,297152,0,18632,157439,0,0,584433,1018,5969,19307,0,0,55961,0,0,17608,41250,"Firmicutes bacterium CAG:94"
"Anaerofustis stercorihominis",0,0,0,0,0,0,0,7415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7072,0,0,0,0,0,0,0,0,0,0,2451,0,0,0,0,0,0,0,3996,0,0,217704,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,0,4515,35325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Anaerofustis stercorihominis"
"[Clostridium] methylpentosum",0,0,0,0,0,0,0,4131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23960,0,0,0,0,0,0,0,3717,0,0,0,6905,0,0,0,0,0,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12865,0,0,0,0,0,33296,0,0,894,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,11203,0,0,0,0,0,0,662,0,0,0,1805,0,0,0,0,0,0,0,0,0,0,0,0,1344,0,0,25824,0,0,0,0,0,0,0,0,"[Clostridium] methylpentosum"
"Anaerotignum lactatifermentans",0,0,0,0,0,0,0,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4502,0,0,0,0,0,0,0,0,0,4843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2708,0,0,0,0,0,0,0,0,0,0,83420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2516,109717,0,0,0,0,0,0,0,0,0,78104,0,102800,0,0,0,0,0,0,17759,0,0,0,3872,0,0,0,0,0,539475,0,0,5720,0,0,9699,0,0,0,0,0,44980,0,0,0,0,0,0,2629866,0,240785,0,0,0,0,"Anaerotignum lactatifermentans"
