"","CA01","CA02","CA03","CA04","CA05","CA06","CA08","CA12","CA13","CA14","CA15","CA16","CA17","CA18","CA19","CA20","CA21","CA22","CA23","CA24","CA25","CA26","CA27","CA28","CA29","CA30","CA31","CA32","CA33","CA34","CA35","CA36","CA37","CA38","CA39","CA40","CA41","FeatureID"
"Streptococcus cristatus",0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus cristatus"
"Alistipes timonensis",0,0,0,0,0,0,0,0,3440,3452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742,0,0,0,0,0,0,0,0,0,"Alistipes timonensis"
"Lachnoclostridium sp. An14",0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lachnoclostridium sp. An14"
"[Butyribacterium] methylotrophicum",0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[Butyribacterium] methylotrophicum"
"Prevotella sp. 885",0,0,0,0,0,0,0,0,0,0,1668414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prevotella sp. 885"
"Bifidobacterium angulatum",0,0,0,0,0,0,0,0,0,0,0,0,494956,0,0,0,0,0,0,0,6264,0,0,0,0,0,0,0,481742,0,0,0,0,0,0,0,0,"Bifidobacterium angulatum"
"Megamonas funiformis CAG:377",0,0,0,0,0,0,0,0,0,0,0,0,250973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6123,0,"Megamonas funiformis CAG:377"
"Phocaeicola coprocola",0,0,0,0,0,0,0,0,0,0,0,0,194416,0,0,2556907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Phocaeicola coprocola"
"Prevotella sp. CAG:5226",0,0,0,0,0,0,0,0,0,0,0,0,175693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163957,0,571541,0,4831954,0,0,0,"Prevotella sp. CAG:5226"
"Megamonas funiformis",0,0,0,0,0,0,0,0,0,0,0,0,104071,0,0,0,0,0,0,0,0,0,0,0,0,7980057,0,0,0,0,0,0,0,0,0,5343,2060,"Megamonas funiformis"
"Prevotella sp. AM42-24",0,0,0,0,0,0,0,0,0,0,0,0,93479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prevotella sp. AM42-24"
"Phocaeicola coprophilus",0,0,0,0,0,0,0,0,0,0,0,0,24041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Phocaeicola coprophilus"
"Parabacteroides goldsteinii",0,0,0,0,0,0,0,0,0,0,0,0,13880,14660,0,0,0,0,0,51952,0,33063,0,0,0,0,0,1933,0,0,0,0,0,74059,0,0,0,"Parabacteroides goldsteinii"
"Megamonas hypermegale",0,0,0,0,0,0,0,0,0,0,0,0,12138,0,0,0,0,0,0,0,0,0,744,0,0,523517,0,0,0,0,0,0,0,0,0,1876,0,"Megamonas hypermegale"
"Desulfovibrionaceae bacterium",0,0,0,0,0,0,0,0,0,0,0,0,4144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Desulfovibrionaceae bacterium"
"Limosilactobacillus reuteri",0,0,0,0,0,0,0,0,0,0,0,0,3342,0,0,0,0,0,0,0,0,0,0,0,0,0,32300,0,0,0,0,0,0,0,0,0,0,"Limosilactobacillus reuteri"
"Prevotella corporis",0,0,0,0,0,0,0,0,0,0,0,0,415,0,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55384,0,0,0,0,0,0,0,"Prevotella corporis"
"Enterococcus faecium",0,0,0,0,0,0,0,0,0,0,0,0,0,351038,0,0,0,0,0,0,0,0,5551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Enterococcus faecium"
"Methanosphaera stadtmanae",0,0,0,0,0,0,0,0,0,0,0,0,0,148344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Methanosphaera stadtmanae"
"[Clostridium] hylemonae",0,0,0,0,0,0,0,0,0,0,0,0,0,80966,0,0,31501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[Clostridium] hylemonae"
"Candidatus Methanomassiliicoccus intestinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,70909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Candidatus Methanomassiliicoccus intestinalis"
"Sanguibacteroides justesenii",0,0,0,0,0,0,0,0,0,0,0,0,0,24040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sanguibacteroides justesenii"
"Clostridium sp. D5",0,0,0,0,0,0,0,0,0,0,0,0,0,23141,0,0,0,0,0,1308,0,0,0,0,22445,0,0,0,0,0,0,0,0,0,0,0,0,"Clostridium sp. D5"
"Cloacibacillus porcorum",0,0,0,0,0,0,0,0,0,0,0,0,0,22084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cloacibacillus porcorum"
"Lactobacillus paragasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,3378,0,18559,0,0,586,0,0,0,77685,0,0,0,0,0,27630,0,48933,0,0,0,0,0,0,"Lactobacillus paragasseri"
"Lactonifactor longoviformis",0,0,0,0,0,0,0,0,0,0,0,0,0,639,5647,0,5806,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,21421,0,0,3615,0,"Lactonifactor longoviformis"
"Klebsiella pneumoniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,185433,244330,0,0,0,0,0,2825655,0,0,0,3555,0,0,0,0,0,0,0,0,0,59888,0,"Klebsiella pneumoniae"
"Klebsiella quasipneumoniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12915,15637,0,0,0,0,0,835646,0,0,0,0,0,0,0,0,0,0,0,0,0,3478,0,"Klebsiella quasipneumoniae"
"Bifidobacterium dentium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8947,0,0,0,0,0,0,0,27578,0,0,0,2504,259,13841,0,0,0,0,0,0,0,0,"Bifidobacterium dentium"
"Clostridium perfringens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6033,0,0,0,0,0,0,0,27270,0,0,0,0,0,0,0,0,0,112881,0,0,0,0,"Clostridium perfringens"
"Finegoldia magna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2617,0,0,24872,0,0,0,0,0,0,0,0,0,0,0,1251,0,0,0,0,0,0,0,"Finegoldia magna"
"Murimonas intestini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Murimonas intestini"
"Dialister sp. CAG:357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977273,0,0,0,0,0,0,0,0,0,0,0,0,5537847,0,0,0,0,0,0,0,0,"Dialister sp. CAG:357"
"Anaerotruncus sp. CAG:528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700670,0,0,0,0,0,0,0,0,0,756487,0,0,0,0,0,0,0,0,0,0,0,"Anaerotruncus sp. CAG:528"
"Veillonella infantium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85874,0,0,14500,0,0,0,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,"Veillonella infantium"
"Veillonella sp. T11011-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27376,0,0,4810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Veillonella sp. T11011-6"
"Streptococcus mutans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8783,0,0,58056,1591,0,0,0,0,4014,0,0,0,550750,0,1718,0,0,0,0,0,0,"Streptococcus mutans"
"Veillonella tobetsuensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Veillonella tobetsuensis"
"Streptococcus sp. F0442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6262,0,0,0,0,11434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus sp. F0442"
"Streptococcus sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2244,9720,12169,10318,0,9348,0,0,0,0,0,13854,0,0,0,0,0,2035,3821,0,0,0,"Streptococcus sanguinis"
"Streptococcus agalactiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1932,0,0,0,0,0,0,70503,0,0,9787,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus agalactiae"
"Bacteroides sp. D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroides sp. D2"
"Phocaeicola sartorii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1934527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Phocaeicola sartorii"
"Clostridioides difficile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74487,0,0,0,0,0,0,0,0,0,32106,0,0,0,0,0,0,0,0,0,0,"Clostridioides difficile"
"Bifidobacterium pullorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77216,0,0,0,0,"Bifidobacterium pullorum"
"Enterococcus avium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,0,0,0,0,0,0,0,0,0,4077,0,0,0,0,0,0,0,0,0,0,"Enterococcus avium"
"Actinomyces sp. S6-Spd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,505,1079,2213,0,0,0,0,0,0,0,0,0,0,0,0,3484,0,0,0,0,"Actinomyces sp. S6-Spd3"
"Mogibacterium diversum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,11760,0,0,0,0,0,0,0,0,0,0,0,0,290,4581,0,0,0,0,"Mogibacterium diversum"
"Abiotrophia sp. HMSC24B09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abiotrophia sp. HMSC24B09"
"Streptococcus pasteurianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus pasteurianus"
"Klebsiella michiganensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Klebsiella michiganensis"
"Anaerococcus vaginalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10608,0,0,0,0,0,0,0,0,0,0,0,4736,0,0,0,0,0,0,0,"Anaerococcus vaginalis"
"Prevotella bivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8036,0,0,0,0,0,0,0,0,2205,0,0,11654,0,0,0,0,0,0,0,"Prevotella bivia"
"Peptostreptococcus sp. MV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6479,0,0,0,0,0,0,0,0,0,0,0,5341,0,0,0,0,0,0,0,"Peptostreptococcus sp. MV1"
"Fusobacterium gonidiaformans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fusobacterium gonidiaformans"
"Fannyhessea vaginae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fannyhessea vaginae"
"Prevotella disiens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prevotella disiens"
"Peptoniphilus harei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peptoniphilus harei"
"Peptoniphilus lacrimalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659,0,0,0,0,0,0,0,0,0,0,0,1011,0,0,0,0,0,0,0,"Peptoniphilus lacrimalis"
"Peptoniphilus coxii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peptoniphilus coxii"
"Streptococcus sp. SK643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus sp. SK643"
"Lawsonella clevelandensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lawsonella clevelandensis"
"Tissierellia bacterium KA00581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tissierellia bacterium KA00581"
"Fusobacterium periodonticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fusobacterium periodonticum"
"Haemophilus sputorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Haemophilus sputorum"
"Oribacterium sinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6815,0,0,0,501,0,0,0,0,0,0,0,0,8122,0,0,0,0,0,"Oribacterium sinus"
"Lancefieldella parvula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6073,0,0,0,501,0,0,0,0,1618,0,0,0,0,0,0,0,0,0,"Lancefieldella parvula"
"Bifidobacterium breve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3922,0,0,0,0,0,0,0,174284,0,0,0,0,0,0,0,0,0,0,"Bifidobacterium breve"
"Stomatobaculum longum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stomatobaculum longum"
"Streptococcus sp. A12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,0,3805,0,0,0,0,0,0,0,0,0,0,0,3040,0,0,0,0,"Streptococcus sp. A12"
"Staphylococcus aureus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601,0,5032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Staphylococcus aureus"
"Veillonella rogosae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Veillonella rogosae"
"Lancefieldella rimae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,2347,0,0,0,0,0,"Lancefieldella rimae"
"Abiotrophia defectiva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abiotrophia defectiva"
"[Eubacterium] brachy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,0,9295,0,0,298,0,0,0,0,0,0,0,0,0,0,0,"[Eubacterium] brachy"
"Eubacteriaceae bacterium CHKCI005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eubacteriaceae bacterium CHKCI005"
"Actinomyces naeslundii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,"Actinomyces naeslundii"
"Fretibacterium fastidiosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fretibacterium fastidiosum"
"Ligilactobacillus animalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5385981,0,0,0,0,0,0,0,31485,0,0,0,0,0,0,0,0,"Ligilactobacillus animalis"
"Peptacetobacter hiranonis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13019,107175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peptacetobacter hiranonis"
"Streptococcus pyogenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus pyogenes"
"Actinomyces sp. oral taxon 170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinomyces sp. oral taxon 170"
"Streptococcus sp. HMSC070B10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2077,0,0,0,0,0,0,0,0,0,633,0,0,0,0,0,0,"Streptococcus sp. HMSC070B10"
"Chlamydia ibidis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chlamydia ibidis"
"Citrobacter youngae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Citrobacter youngae"
"Citrobacter portucalensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Citrobacter portucalensis"
"Fusobacterium mortiferum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325422,0,0,0,38314,0,0,0,0,0,0,0,0,0,0,0,"Fusobacterium mortiferum"
"Enterococcus faecalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17686,0,0,0,0,0,0,1713,0,0,0,0,0,0,0,0,"Enterococcus faecalis"
"Limosilactobacillus oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51021,0,0,0,0,0,0,0,20437,0,0,0,0,0,0,"Limosilactobacillus oris"
"Dialister pneumosintes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35684,0,0,0,0,0,0,0,3376,0,0,0,0,0,0,"Dialister pneumosintes"
"Clostridium sp. CAG:253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clostridium sp. CAG:253"
"Limosilactobacillus vaginalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Limosilactobacillus vaginalis"
"Lactobacillus gasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8004,0,0,0,0,0,2164,0,9561,0,0,0,0,0,0,"Lactobacillus gasseri"
"Lactobacillus ultunensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lactobacillus ultunensis"
"Parascardovia denticolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Parascardovia denticolens"
"Limosilactobacillus antri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Limosilactobacillus antri"
"Scardovia inopinata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scardovia inopinata"
"Weissella confusa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6097,0,0,0,0,0,0,0,0,0,0,0,0,0,"Weissella confusa"
"Scardovia wiggsiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9621,0,0,174,0,0,0,0,0,0,0,0,0,"Scardovia wiggsiae"
"Propionibacterium acidifaciens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776,0,0,0,0,0,0,0,0,0,0,0,0,"Propionibacterium acidifaciens"
"Megasphaera sp. DISK 18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605450,0,0,0,0,0,12237,0,0,0,0,0,"Megasphaera sp. DISK 18"
"Megasphaera micronuciformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31326,0,0,0,0,0,0,0,0,0,0,"Megasphaera micronuciformis"
"Enterococcus hirae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7922,0,0,0,0,0,0,0,0,0,0,"Enterococcus hirae"
"Megasphaera elsdenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265973,0,0,0,0,0,0,0,0,15960,"Megasphaera elsdenii"
"Streptococcus sobrinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35006,0,0,0,0,0,0,0,0,0,"Streptococcus sobrinus"
"Clostridium disporicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10652,0,0,0,0,0,1516,0,0,0,"Clostridium disporicum"
"Rothia dentocariosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,1320,0,0,0,0,0,0,"Rothia dentocariosa"
"Ruminococcus sp. CAG:488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369656,0,0,0,0,0,0,0,0,"Ruminococcus sp. CAG:488"
"Clostridium sp. CAG:242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9802,0,0,0,0,0,0,0,0,"Clostridium sp. CAG:242"
"Ruminococcus obeum CAG:39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5246,0,0,0,0,0,0,0,0,"Ruminococcus obeum CAG:39"
"Pseudoflavonifractor sp. An184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4384,0,23035,0,0,0,1377,0,0,"Pseudoflavonifractor sp. An184"
"Aeriscardovia aeriphila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706,0,1875,0,0,0,0,811,0,"Aeriscardovia aeriphila"
"Ruminococcus sp. CAG:563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,0,0,0,0,0,0,0,0,"Ruminococcus sp. CAG:563"
"Lachnospiraceae bacterium oral taxon 096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9739,0,0,0,0,0,"Lachnospiraceae bacterium oral taxon 096"
"Saccharomyces cerevisiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8079,0,0,0,0,0,"Saccharomyces cerevisiae"
"Fusobacterium varium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5796,0,0,0,0,0,"Fusobacterium varium"
"Faecalicatena orotica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,0,0,0,0,0,"Faecalicatena orotica"
"Lactobacillus iners",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91361,0,0,0,0,"Lactobacillus iners"
"Klebsiella aerogenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90048,0,0,0,0,"Klebsiella aerogenes"
"Paeniclostridium sordellii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16648,0,0,0,0,"Paeniclostridium sordellii"
"Citrobacter amalonaticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5179,0,0,0,0,"Citrobacter amalonaticus"
"Dellaglioa algida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5566,0,0,0,"Dellaglioa algida"
"Leuconostoc mesenteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0,"Leuconostoc mesenteroides"
"Cutibacterium acnes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46492,"Cutibacterium acnes"
"Staphylococcus capitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,"Staphylococcus capitis"
"Malassezia restricta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,"Malassezia restricta"
