"","S112","S118","S121","S126","S127","S131","S137","S141","S143","S144","S146","S153","S155","S158","S186","S187","S193","S194","S195","S198","S200","S205","S224","S225","S227","S229","S231","S235","S239","S243","S244","S248","S249","S258","S263","S264","S268","S269","S278","S286","S288","S290","S297","S299","S304","S305","S312","S317","S327","S330","S332","S334","S342","S344","S347","S349","S350","S353","S354","S356","S365","S367","S370","S372","S378","S380","S381","S384","S389","S393","S395","S397","S398","S420","S421","S422","S424","S432","S434","S436","S439","S441","S446","S451","S456","S457","S458","S462","S463","S468","S470","S472","S475","S476","S478","S479","S483","S484","S485","S487","S488","S495","S497","S51","S517","S524","S526","S529","S53","S530","S536","S54","S543","S547","S550","S551","S552","S558","S561","S563","S577","S58","S584","S587","S589","S59","S591","S598","S60","S600","S602","S604","S614","S617","S618","S628","S638","S640","S643","S646","S655","S77","S80","S88","S92","FeatureID"
"Odoribacter laneus",0,0,0,0,0,71392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34383,0,0,0,0,0,0,0,138211,16037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6862,0,0,0,0,0,0,0,97102,3338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10495,0,14036,0,0,0,72284,0,29557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12825,0,"Odoribacter laneus"
"Blautia hydrogenotrophica",0,0,0,0,0,45616,0,1544,0,0,0,3225,0,68572,0,0,0,0,0,0,0,21608,0,468,0,3473,0,0,0,3757,0,3343,0,15797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,74308,1270,0,0,371770,0,0,0,68697,75657,0,13163,32597,0,0,0,0,0,0,0,6575,0,0,0,8368,0,7125,91459,80680,0,29704,18444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16780,0,0,0,2602,0,18174,0,0,19831,85654,0,363,21356,0,0,11090,0,14588,0,0,2623,5412,0,98,0,0,0,0,0,0,0,0,32804,0,0,0,11149,0,0,0,0,18123,2279,0,0,0,33483,"Blautia hydrogenotrophica"
"Lactiplantibacillus plantarum",0,0,0,0,0,30633,0,0,0,0,0,0,31358,0,0,0,0,0,0,0,62006,0,0,0,0,18326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7030,0,0,0,0,0,0,0,0,3890,0,0,0,34947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690,0,0,0,0,0,0,0,0,0,0,3092,0,0,540917,0,0,0,0,0,0,96020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16152,0,30818,0,0,11982,522,0,0,0,0,0,0,0,0,0,1964,0,0,9055,0,0,0,0,0,0,0,0,0,0,0,0,18132,"Lactiplantibacillus plantarum"
"Bacteroides sp. CAG:144",0,0,0,0,0,28715,20467,0,0,0,0,5497,0,0,0,0,0,0,0,0,0,0,50816,0,16744,0,0,0,0,0,0,0,0,0,15278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14308,0,0,0,0,0,0,0,0,0,0,48858,0,0,353225,0,0,0,51541,0,0,0,0,0,0,0,0,31223,0,0,0,0,0,0,0,0,0,0,0,9948,0,0,0,0,0,0,0,0,0,0,151561,0,331182,0,0,0,0,51437,0,"Bacteroides sp. CAG:144"
"Bacteroides clarus",0,0,0,0,0,20740,0,0,0,0,5292,0,0,0,43971,24549,0,48175,0,0,0,0,0,0,114760,0,0,0,0,174342,0,0,0,0,6562,0,0,0,0,0,0,76686,0,0,0,0,43984,0,0,0,0,0,0,0,0,0,0,0,31131,0,0,0,0,0,0,0,0,0,0,0,112152,0,0,0,0,17544,0,0,0,0,0,0,0,0,213522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51885,39739,0,0,0,0,0,0,30102,0,0,0,0,0,0,0,0,1885,26356,0,0,0,0,0,19212,43497,0,3410,0,"Bacteroides clarus"
"Clostridium sp. D5",0,0,0,0,0,14585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4251,0,0,0,0,6609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clostridium sp. D5"
"Enterocloster bolteae",0,0,0,0,0,13079,0,636,0,10381,0,0,0,306420,1115,0,0,0,1493,0,4691,96453,0,0,0,5497,0,0,0,0,550,0,508,0,14264,0,0,2333,0,0,22373,36624,0,0,0,0,5047,2367,0,6770,27169,0,0,5470,18835,6102,0,0,30497,56540,0,4798,2282,22289,0,0,0,6297,0,0,2125,0,1737,0,1042,0,478,744,121228,0,119232,1144,759,7069,6625,0,0,0,0,0,0,0,1134,0,0,0,8286,17261,0,0,5960,15108,0,5337,0,0,0,0,0,0,2014,0,3163,0,73606,123,0,0,0,0,0,124771,0,0,0,0,4653,0,0,2392,0,228181,566,0,1306,0,0,0,0,0,0,0,0,0,2117,"Enterocloster bolteae"
"Eisenbergiella massiliensis",0,0,0,0,0,10627,0,0,0,0,0,0,0,0,7925,0,1844,0,91034,0,0,0,0,0,0,24545,23543,0,0,0,0,0,0,59746,12209,0,0,0,0,0,0,0,0,0,0,0,0,210993,0,37989,89754,0,0,0,6120,8050,0,0,487051,30895,0,0,4995,10697,0,0,0,0,0,0,9052,0,2463,5004,164449,664,4449,2561,0,0,262338,0,97103,17892,133,0,0,0,3813,0,0,0,0,0,0,0,18409,0,0,0,0,0,0,3639,0,0,68189,897,0,0,3629,0,0,0,0,2484,0,549,76089,0,0,0,0,0,15282,0,68447,0,0,3800,189,0,0,0,0,0,0,269068,0,11688,60,0,0,0,0,"Eisenbergiella massiliensis"
"Bacteroides finegoldii",0,0,0,0,0,9359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11366,0,0,0,0,0,0,0,7004,0,0,0,0,0,0,0,0,0,0,0,0,0,14282,0,0,0,0,0,230000,0,0,0,26556,0,0,0,0,17980,0,0,0,100748,0,0,0,0,0,0,0,0,0,0,0,552115,0,33356,13543,453077,0,0,0,0,0,0,0,0,0,19326,0,0,0,0,174,0,27927,0,0,86023,0,0,0,0,42534,0,38466,31000,261490,0,0,0,0,0,0,0,0,0,0,0,0,0,221810,0,0,0,0,0,0,0,0,0,0,0,0,22409,7431,0,21553,0,0,0,0,0,0,0,0,"Bacteroides finegoldii"
"Phocaeicola massiliensis",0,0,0,0,0,8711,76589,0,0,0,7707,0,0,0,92913,0,181581,0,0,0,0,0,15351,241882,70939,0,7915,0,1780,0,0,0,0,14027,7456,0,0,0,46904,28723,266538,0,22630,0,0,0,0,0,0,0,0,0,21810,0,0,20697,127960,0,0,0,0,186210,0,0,38545,0,0,0,0,0,181677,17589,0,0,23617,17858,120025,0,123880,0,0,58352,0,0,0,0,66440,541586,9751,0,0,0,0,0,44080,0,0,0,347,0,0,172297,19327,4679,0,37767,80601,0,122259,0,0,0,138998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21124,0,0,7928,32239,0,0,0,157436,0,0,0,0,0,125393,10357,2220,"Phocaeicola massiliensis"
"Harryflintia acetispora",0,0,0,0,0,5179,0,0,0,0,0,0,0,0,0,4590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,0,0,0,0,0,0,0,0,0,0,0,75521,0,0,8447,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,0,0,0,0,0,2759,9280,0,2726,0,0,0,3773,0,1143,0,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16078,0,0,0,2533,0,0,0,0,4289,0,0,13711,0,0,0,0,0,0,0,1457,0,0,0,0,0,0,0,0,0,0,13895,0,0,0,0,0,0,0,"Harryflintia acetispora"
"Faecalicoccus pleomorphus",0,0,0,0,0,3666,0,0,0,0,9550,0,5256,0,0,0,2736,0,0,100351,0,0,0,0,0,0,0,11142,4640,0,0,0,0,0,27990,0,0,0,0,0,0,63287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Faecalicoccus pleomorphus"
"Eisenbergiella tayi",0,0,0,0,0,3372,0,0,0,47174,0,0,0,4583,10024,0,7336,0,81759,0,60242,14703,6942,0,0,1311,17287,0,0,0,6762,25291,0,0,291283,0,0,13550,0,992,7099,8992,0,0,0,0,61699,54998,0,0,66961,17546,0,0,562057,0,0,0,16525,0,9183,0,0,0,3360,0,0,28808,10425,0,0,27187,6736,0,377,22768,29661,0,4611,0,157273,0,2872,298955,10273,0,0,0,0,0,0,1614,0,0,0,0,2229,1982,0,34015,90158,40338,0,0,0,0,21201,0,0,0,9205,0,0,0,0,0,0,0,14947,16615,0,648435,0,0,0,4907,0,0,0,0,0,0,15029,0,0,0,11363,24266,0,0,0,0,4400,1245,1711,"Eisenbergiella tayi"
"Bacteroides salyersiae",0,0,0,0,0,2300,0,0,0,1551122,27034,0,0,0,0,0,0,0,0,0,1151,0,0,0,0,0,3689,0,0,0,0,0,0,0,0,0,0,0,0,1455,0,0,0,0,0,234639,47254,0,0,0,0,0,0,0,4999,0,0,0,196,0,0,0,0,0,0,0,6463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38200,0,0,0,0,0,0,0,0,0,0,0,0,216629,0,0,0,0,0,998495,0,0,0,0,0,0,0,0,0,0,0,0,0,64559,0,129346,0,0,0,0,0,0,0,0,0,0,63551,0,0,0,0,57910,0,0,0,0,1480,0,"Bacteroides salyersiae"
"[Clostridium] methylpentosum",0,0,0,0,0,1608,0,0,0,3056,0,0,0,0,0,0,0,0,17521,0,1997,0,0,0,0,0,7961,0,0,0,0,0,0,0,6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2405,0,0,7903,2437,2836,0,0,0,0,3498,0,4760,0,0,0,0,0,1061,0,0,0,0,0,0,0,0,0,2495,0,0,0,0,0,0,0,1858,0,0,0,0,0,0,0,0,0,0,2708,0,0,0,0,0,0,0,0,0,0,556,0,93,0,0,0,0,0,0,0,4904,0,0,0,0,0,0,0,0,0,0,0,2255,0,0,0,0,0,0,5147,0,0,0,0,0,0,0,"[Clostridium] methylpentosum"
"Holdemania filiformis",0,0,0,0,0,1335,0,0,7351,33832,0,6656,3790,0,8254,16250,30265,3568,17230,0,3494,0,3183,0,2593,10087,14841,0,0,1601,12496,0,0,20364,1406,0,5417,3843,2596,0,3328,0,0,0,4066,7315,0,0,0,12645,35729,0,0,20179,0,0,181,5688,117127,0,0,0,0,26034,0,0,9403,0,10848,0,19021,0,15008,0,27352,0,25394,0,98286,18176,31008,0,1468,46830,13464,0,1025,2080,0,0,0,0,0,0,0,4414,0,9746,0,8634,16063,5855,0,0,0,0,44646,0,0,0,9558,9799,0,0,0,15715,0,5665,2923,0,153,7505,4671,0,11342,0,16817,0,6624,8116,17255,113,0,0,0,0,0,0,0,0,3076,4392,0,0,3732,"Holdemania filiformis"
"Lachnoclostridium sp. An138",0,0,0,0,0,904,0,0,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572,0,0,2722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19387,4471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lachnoclostridium sp. An138"
"Firmicutes bacterium CAG:534",0,0,0,0,0,0,534575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466926,0,0,0,0,0,0,0,0,0,0,0,0,14126,0,0,0,6526,0,0,6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,0,0,0,0,0,0,0,0,0,25808,0,0,0,0,0,0,328514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394533,0,0,0,"Firmicutes bacterium CAG:534"
"Phascolarctobacterium succinatutens",0,0,0,0,0,0,92413,0,0,0,52424,0,0,0,0,0,0,0,0,0,0,0,0,0,337705,0,29250,0,0,0,0,0,0,0,23501,0,0,0,1117613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235207,0,0,0,0,0,193732,0,0,0,0,0,0,1153665,0,0,0,0,0,0,0,0,797,199484,0,392841,601346,108878,0,0,0,0,0,0,0,0,0,278864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Phascolarctobacterium succinatutens"
"Eubacterium sp. CAG:180",0,0,0,0,0,0,35459,0,0,0,2278941,0,0,0,0,1747075,0,1417166,0,0,0,0,0,0,0,0,0,0,3407414,1034268,412695,0,23186,0,0,1281267,0,0,0,38859,0,0,20248,117350,0,0,1190390,7489,174811,0,0,0,7397,0,0,1708141,0,0,0,0,0,0,0,0,844684,0,0,0,0,1133840,0,0,0,0,6485,0,0,0,0,12831,0,0,0,0,2863943,362,6980976,0,0,242397,708716,6001743,1594859,4722464,0,0,0,221148,1147529,2756953,0,0,0,248514,1434351,0,0,0,1543646,0,3304607,0,3140039,0,5707,0,0,0,0,0,0,3209518,0,655960,1573,0,0,0,0,4498585,3550004,0,1752179,448981,748876,0,0,0,0,0,0,259865,0,865203,0,"Eubacterium sp. CAG:180"
"Faecalitalea cylindroides",0,0,0,0,0,0,26856,0,0,0,0,0,0,22030,1246,0,0,56583,0,0,0,0,0,0,594792,0,358046,0,0,0,0,0,0,0,27291,0,0,0,0,0,381629,0,0,0,0,0,0,0,0,1027604,0,0,0,0,0,0,0,0,0,0,0,0,5422,0,9884,0,0,0,0,0,0,0,0,0,2325,0,86075,0,0,0,0,0,0,0,78224,0,0,0,152584,0,0,0,0,0,11248,0,0,0,0,135047,0,36582,0,0,0,0,0,0,0,0,0,0,13368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20947,0,0,0,0,0,0,0,271180,0,"Faecalitalea cylindroides"
"Bacteroides sp. CAG:443",0,0,0,0,0,0,19237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743264,12366,0,0,163376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23250,0,0,0,0,824840,0,0,0,0,0,0,0,561110,0,0,0,0,9261,0,0,0,0,271156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242264,0,"Bacteroides sp. CAG:443"
"Bifidobacterium bifidum",0,0,0,0,0,0,5728,0,367183,0,0,0,0,0,438129,0,156945,0,0,228671,0,0,0,0,0,303315,12118,0,129954,0,6197,1028918,17463,0,0,15045,500282,0,0,141481,0,0,61163,0,188302,55163,0,0,0,0,0,665723,58227,0,0,0,0,0,0,0,749,0,385795,0,0,0,0,167189,386188,143861,0,17810,0,0,747129,0,7514,0,0,0,0,81658,0,4999,0,29404,335431,0,2222694,0,45469,0,4649,0,0,0,0,0,103862,0,0,0,0,0,8055,0,0,136891,20332,423201,729483,0,0,0,295839,0,0,242440,0,414459,0,0,0,0,0,5475,0,378666,0,848310,0,0,0,0,0,0,0,0,18061,0,0,0,116323,0,0,"Bifidobacterium bifidum"
"Bifidobacterium catenulatum",0,0,0,0,0,0,4961,0,0,0,0,1027,0,0,0,246487,0,0,0,0,0,0,0,5157,0,0,0,0,766,0,0,0,0,0,0,0,0,0,0,630964,0,0,14335,0,0,0,0,0,0,0,0,434006,0,0,74131,0,0,0,0,0,0,1997947,0,19854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7277,0,311818,0,0,0,0,0,0,0,0,26434,0,0,0,0,0,0,0,12593,0,0,0,489018,0,0,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,1625402,0,0,0,0,0,741,137928,2407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bifidobacterium catenulatum"
"Bifidobacterium animalis",0,0,0,0,0,0,2624,0,0,0,0,0,0,0,0,0,53763,0,0,0,1766949,0,0,12255,0,0,27466,0,10282,0,0,0,0,0,0,0,0,0,0,6845,0,0,184209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2503,0,0,0,0,0,0,2725,0,0,0,0,0,0,0,0,0,0,0,0,0,9215,0,0,0,0,0,0,0,0,59592,0,0,0,0,95719,0,0,100684,0,0,0,0,0,0,0,0,0,0,92170,0,0,37637,0,"Bifidobacterium animalis"
"Clostridium sp. CAG:242",0,0,0,0,0,0,1011,28335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65666,0,0,699,0,0,0,0,0,0,24806,6147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13924,0,0,0,3261,0,0,0,0,0,0,0,0,0,0,0,0,139484,0,0,0,0,0,0,0,46935,0,51181,0,0,0,0,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,5089,0,243004,0,0,0,0,0,0,0,20359,0,0,0,0,0,0,0,0,11553,0,0,0,0,0,0,0,0,2971,0,0,0,"Clostridium sp. CAG:242"
"Bifidobacterium angulatum",0,0,0,0,0,0,0,257610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bifidobacterium angulatum"
"Alistipes onderdonkii",0,0,0,0,0,0,0,33813,0,0,0,25552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98261,0,0,0,0,0,86384,0,0,0,0,0,0,0,0,0,78583,0,0,0,0,0,0,0,581,0,0,0,0,0,406,3454,0,0,0,0,57506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4078,0,0,0,0,0,0,0,0,0,0,0,0,1690,0,25767,0,876465,0,0,0,0,79092,0,0,33750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alistipes onderdonkii"
"Roseburia sp. CAG:303",0,0,0,0,0,0,0,32966,0,0,0,0,0,0,0,0,0,0,0,0,11469,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149012,0,0,0,0,0,54193,0,0,293913,0,0,0,0,0,0,32051,0,0,0,0,473252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31934,0,0,0,0,0,0,0,10626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Roseburia sp. CAG:303"
"Acidaminococcus intestini",0,0,0,0,0,0,0,22464,0,0,0,0,0,0,0,137743,0,0,0,0,0,0,0,0,0,0,0,287168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21047,0,0,0,0,0,0,36485,0,0,0,0,489089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acidaminococcus intestini"
"Enterocloster asparagiformis",0,0,0,0,0,0,0,2756,0,0,0,0,0,0,1504,0,0,0,4109,0,0,0,0,0,0,6769,0,3583,0,0,5613,0,0,0,0,0,0,0,0,0,0,20515,0,0,0,0,0,79167,4625,0,0,0,0,4753,444,10291,0,0,0,0,0,9128,0,0,0,0,0,0,0,0,4296,0,0,20763,0,0,2932,27232,0,1201,65173,949,7474,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22064,0,0,0,0,0,0,0,903,0,0,0,0,0,2039,0,0,0,0,13141,0,0,0,0,0,0,0,"Enterocloster asparagiformis"
"Enterococcus faecium",0,0,0,0,0,0,0,2249,0,0,0,0,0,0,0,0,0,0,0,0,956874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9985,0,0,0,0,0,0,0,0,0,0,0,"Enterococcus faecium"
"Actinomyces sp. ICM47",0,0,0,0,0,0,0,752,0,18602,3941,0,1607,0,0,0,0,1850,0,5068,2724,2709,0,0,0,0,5779,0,0,0,3415,2495,0,0,0,0,0,4628,3135,0,0,1159,0,124,985,0,32514,1910,0,0,15161,0,0,161,0,0,1030,6731,367,1325,0,0,0,0,0,5083,0,2712,0,0,0,0,414,0,5962,0,354,0,18581,0,0,3149,0,0,7110,30231,0,0,0,0,0,3361,0,20634,0,6331,0,3648,0,0,0,0,836,6043,66,6534,0,7560,0,6276,1819,719,0,0,0,0,0,18880,252,0,541,0,2145,0,0,1286,0,0,0,58,0,0,0,0,0,0,0,0,4903,0,0,205,0,0,706,"Actinomyces sp. ICM47"
"Streptococcus sp. A12",0,0,0,0,0,0,0,505,0,0,0,0,2593,0,997,0,0,0,0,0,0,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14466,749,0,0,0,0,0,0,0,0,0,4812,0,0,0,1019,0,0,2724,5378,0,0,1319,0,0,667,0,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,1439,0,0,0,0,0,0,4204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5891,0,0,0,2862,0,0,866,0,150,0,0,0,0,0,0,0,201,0,0,"Streptococcus sp. A12"
"Haemophilus parainfluenzae",0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,6686,0,0,0,0,0,0,1923,0,0,0,0,0,4424,0,0,0,0,0,0,6913,0,0,1237,0,0,0,0,0,0,0,4558,0,0,0,0,0,0,0,0,0,0,78095,0,0,1841,1726,0,0,16053,0,17071,3083,0,0,0,0,0,0,0,4099,0,0,0,0,0,0,0,0,0,5485,0,0,0,0,0,0,0,11670,0,0,0,0,0,0,0,0,8650,0,12839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17020,0,0,0,0,0,0,1607,0,0,0,21890,0,0,0,0,0,0,0,0,"Haemophilus parainfluenzae"
"Rothia mucilaginosa",0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,7983,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,5182,127,0,0,0,0,2397,1345,0,0,0,0,0,0,717,2915,165104,0,0,22376,0,0,0,0,0,0,0,0,0,0,0,54893,0,0,0,0,5227,0,0,0,0,0,0,0,326,1514,954,0,0,0,0,0,0,0,30881,0,0,0,7915,0,0,0,6352,0,1048,0,25205,0,0,1605,0,4114,1165,224,1539,3675,0,0,76,1696,0,0,0,85,0,0,0,2525,0,0,0,15497,0,0,0,0,0,0,13447,0,219655,0,0,0,1727,0,0,0,0,0,5755,0,0,0,"Rothia mucilaginosa"
"Enterocloster citroniae",0,0,0,0,0,0,0,194,0,1429,0,0,0,2472,0,0,6767,0,0,0,0,9625,0,0,0,0,0,0,0,0,2780,0,0,0,0,0,0,0,0,0,0,14589,0,0,0,0,61906,42082,0,2410,0,0,0,0,0,0,0,0,22542,14129,0,652,0,4987,0,0,0,0,3929,0,1190,0,7299,8902,5121,5131,0,4493,6611,0,21449,2112,0,90497,144,0,0,0,0,0,0,0,0,0,0,0,0,1404,0,0,45961,169,0,4283,0,3139,0,1328,3297,0,127,0,0,0,245,170,0,306,2491,0,0,0,0,0,0,0,5917,0,0,0,4888,93887,0,0,500,0,0,0,0,2038,0,0,816,0,265,"Enterocloster citroniae"
"Coprobacillus cateniformis",0,0,0,0,0,0,0,0,229126,0,0,0,0,0,0,0,0,0,0,0,20100,0,0,27422,0,0,75294,0,4184,0,204326,0,0,0,0,0,0,0,0,15073,7067,185586,0,15080,197643,5777,436375,0,0,0,533925,0,0,0,0,35356,0,0,0,49682,0,1597,38666,0,0,4767,0,0,0,0,0,0,0,0,12400,0,0,0,0,0,0,0,0,124256,0,0,762958,0,0,3980,0,0,24051,0,27969,0,0,0,0,428911,0,185825,0,17164,0,0,0,6982,0,0,268653,0,0,0,0,0,0,0,19877,0,4541,1347471,0,0,0,0,0,0,0,898,0,3286,12026,0,0,0,0,2185,0,0,0,0,0,0,0,"Coprobacillus cateniformis"
"Ruminococcus sp. CAG:488",0,0,0,0,0,0,0,0,39506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4215,0,0,0,0,0,0,0,0,0,597752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11181,257149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ruminococcus sp. CAG:488"
