"","SZAXPI003409-8","SZAXPI003410-3","SZAXPI003411-6","SZAXPI003412-1","SZAXPI003413-4","SZAXPI003414-3","SZAXPI003415-12","SZAXPI003416-4","SZAXPI003417-4","SZAXPI003418-8","SZAXPI003419-6","SZAXPI003420-4","SZAXPI003421-5","SZAXPI003422-11","SZAXPI003423-8","SZAXPI003424-12","SZAXPI003425-1","SZAXPI003426-11","SZAXPI003427-1","SZAXPI003428-6","SZAXPI003429-3","SZAXPI003430-5","SZAXPI003431-1","SZAXPI003432-12","SZAXPI003433-7","SZAXPI003434-7","SZAXPI003435-11","SZAXPI003436-7","SZAXPI003437-3","SZAXPI015209-133","SZAXPI015210-17","SZAXPI015211-166","SZAXPI015212-113","SZAXPI015213-15","SZAXPI015214-19","SZAXPI015215-20","SZAXPI015216-169","SZAXPI015217-140","SZAXPI015218-16","SZAXPI015219-129","SZAXPI015220-136","SZAXPI015221-142","SZAXPI015222-123","SZAXPI015223-158","SZAXPI015224-13","SZAXPI015225-18","SZAXPI015226-14","SZAXPI015227-13","SZAXPI015228-14","SZAXPI015229-15","SZAXPI015230-16","SZAXPI015231-17","SZAXPI015232-18","SZAXPI015233-19","SZAXPI015234-20","SZAXPI015235-21","SZAXPI015237-23","SZAXPI015238-24","SZAXPI015239-25","SZAXPI015240-26","SZAXPI015241-27","SZAXPI015242-30","SZAXPI015243-31","SZAXPI015244-32","SZAXPI015245-33","SZAXPI015246-34","SZAXPI015247-35","SZAXPI015248-36","SZAXPI015249-37","SZAXPI015250-39","SZAXPI015251-41","SZAXPI015252-43","SZAXPI015253-44","SZAXPI015254-45","SZAXPI015255-46","SZAXPI015256-47","SZAXPI015257-56","SZAXPI015258-57","SZAXPI015259-62","SZAXPI015260-74","SZAXPI015261-75","SZAXPI015262-79","SZAXPI015263-84","SZAXPI015264-87","SZAXPI015265-88","SZAXPI015266-89","SZAXPI015267-102","SZAXPI015268-109","SZAXPI015269-94","SZAXPI015270-90","SZAXPI015271-93","SZAXPI015272-108","SZAXPI015273-95","SZAXPI015274-111","SZAXPI017451-16","SZAXPI017452-17","SZAXPI017453-19","SZAXPI017454-20","SZAXPI017455-21","SZAXPI017456-23","SZAXPI017457-24","SZAXPI017458-25","SZAXPI017459-26","SZAXPI017460-27","SZAXPI017461-32","SZAXPI017462-33","SZAXPI017463-36","SZAXPI017464-37","SZAXPI017465-43","SZAXPI017466-84","SZAXPI017467-87","SZAXPI017468-88","SZAXPI017580-90","SZAXPI017581-93","SZAXPI017582-94","SZAXPI017583-102","SZAXPI017584-108","SZAXPI017585-109","SZAXPI017586-111","SZAXPI017587-113","SZAXPI017588-123","SZAXPI017589-133","SZAXPI017590-136","SZAXPI017591-140","SZAXPI017592-142","SZAXPI017593-158","SZAXPI017594-166","SZAXPI017595-169","FeatureID"
"Lactonifactor longoviformis",0,0,0,636,0,0,0,0,0,0,0,0,0,0,15375,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9227,0,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,11626,0,0,0,0,0,0,0,0,0,0,0,623,0,0,0,1968,0,0,3998,0,0,0,1717,0,2773,0,0,0,0,0,710,0,0,0,0,0,0,0,0,27431,0,0,0,0,0,0,0,0,848,0,0,0,0,0,0,0,0,0,0,5426,0,0,0,0,0,0,0,0,0,0,6792,0,0,2673,"Lactonifactor longoviformis"
"Streptococcus cristatus",0,0,0,452,0,0,0,0,0,7100,0,3916,0,5815,0,2459,0,0,0,0,0,0,0,0,0,0,0,0,27640,0,1346,0,1241,0,0,0,0,0,0,0,531,0,0,0,9840,0,0,0,2359,0,0,0,0,0,0,0,0,364,0,0,0,1747,0,0,0,0,0,0,0,0,0,0,1090,481,0,0,0,695,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,16691,0,0,0,0,745988,18079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus cristatus"
"[Eubacterium] infirmum",0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[Eubacterium] infirmum"
"Dialister sp. CAG:357",0,0,0,0,738636,0,0,0,129,0,2042225,0,0,0,0,0,0,0,0,0,724,0,0,433460,577420,2443724,86323,642376,0,2084811,1778957,7309856,0,0,0,3881810,2888,0,2762039,0,288688,0,0,3195200,5848170,0,0,0,0,0,0,4697262,3375621,27451009,183,1201152,0,0,0,207096,0,0,3109650,0,0,0,0,0,3424748,81971,0,2767936,1733626,157750,0,0,0,2817406,0,0,1944568,1749417,3826798,0,3835,2701808,0,0,0,0,0,803396,0,0,0,0,0,25328,4347151,132531,0,0,0,0,1194,474887,0,0,0,920164,1634072,0,0,0,0,4137,0,0,0,0,0,4271326,2170,0,2964,10584695,1273412,0,"Dialister sp. CAG:357"
"[Ruminococcus] lactaris",0,0,0,0,538424,187083,0,0,0,0,3304,669233,104182,906287,0,1286556,194058,0,0,0,574612,200259,0,0,0,0,0,0,0,114611,777254,0,0,0,0,0,1391711,0,0,0,0,0,0,0,2022907,0,417958,1749410,0,0,216995,63902,0,0,0,106987,0,908280,6240,0,0,203348,0,104621,309777,798825,0,0,0,0,0,75390,397056,0,125047,0,1586548,314084,492905,0,118555,0,0,0,0,106198,0,148576,0,0,0,0,1440518,0,0,0,127594,0,0,0,342,357584,0,0,0,256759,0,0,176955,12049,21271,74197,2418766,10269,0,770775,0,0,0,0,865648,351354,680759,334810,2449730,0,0,0,"[Ruminococcus] lactaris"
"[Clostridium] spiroforme",0,0,0,0,128084,0,24040,11294,0,0,0,0,0,0,0,7008,0,0,0,0,0,0,1707,0,8600,0,12697,0,0,817,0,0,0,0,47591,0,13461,5561,55416,0,0,0,0,0,0,28007,0,17038,0,0,0,0,23298,32211,0,0,67588,0,0,155296,18039,739,0,2613,0,0,105,0,0,32216,0,7405,0,52010,537,0,0,0,5019,0,0,0,0,2311,3210,9381,0,0,0,0,0,0,3531,0,0,11763,0,0,128514,46740,12281,0,0,0,0,0,0,0,0,0,0,0,53995,4523,28024,9207,0,0,0,0,0,0,16031,0,0,0,0,0,"[Clostridium] spiroforme"
"Coprobacter secundus",0,0,0,0,57244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34380,0,0,0,0,0,0,0,2297,0,0,2153,0,0,0,0,5143,0,0,0,0,0,0,0,0,0,0,7732,0,0,0,0,0,0,0,13245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63418,53083,0,0,0,0,0,0,0,51223,0,0,0,0,0,0,0,0,0,0,0,0,0,85194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4921,0,0,0,0,0,0,0,"Coprobacter secundus"
"Roseburia sp. CAG:303",0,0,0,0,16888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054,0,0,117142,0,0,0,0,7215,0,0,0,0,0,0,0,0,0,0,0,1331,0,0,0,0,0,0,0,0,0,0,47476,0,65185,0,109,0,0,0,0,0,0,0,0,0,109317,0,0,70781,0,0,0,0,0,0,0,0,0,61156,0,0,65864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Roseburia sp. CAG:303"
"Roseburia sp. CAG:309",0,0,0,0,10490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4133,0,0,0,0,0,0,16067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84536,0,0,0,0,"Roseburia sp. CAG:309"
"Mogibacterium timidum",0,0,0,0,1063,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2108,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77021,"Mogibacterium timidum"
"Treponema denticola",0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Treponema denticola"
"Klebsiella aerogenes",0,0,0,0,522,0,0,0,0,0,0,2262,0,0,63266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078265,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11002,0,0,0,2612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11127,0,0,0,0,0,0,0,0,0,0,0,0,8155,0,0,0,0,0,339215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Klebsiella aerogenes"
"Megamonas rupellensis",0,0,0,0,412,0,0,0,1788,0,642,0,0,277037,0,0,0,0,2798,0,2868927,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0,0,455874,0,0,0,0,0,0,0,0,0,0,0,112771,0,0,0,0,0,0,0,0,"Megamonas rupellensis"
"Dorea sp. CAG:317",0,0,0,0,0,128989,31466,0,4396,36263,0,0,0,0,93948,0,123944,0,0,0,0,0,0,0,307184,0,0,11981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784063,0,0,0,0,0,2684,0,0,335932,0,0,0,0,0,0,86905,0,0,0,0,0,0,0,0,0,0,0,0,0,21099,0,0,0,0,0,0,22112,0,0,0,0,0,0,0,0,0,0,0,0,0,50913,0,0,0,0,0,281071,810926,0,7587,0,0,0,0,0,0,0,0,0,0,0,"Dorea sp. CAG:317"
"Eubacterium sp. CAG:274",0,0,0,0,0,33241,0,0,75391,0,0,0,0,23767,0,33571,396327,0,774,0,0,0,471807,0,0,0,44397,0,0,0,0,0,4302124,0,0,0,54603,0,0,1458410,0,156547,323574,0,664325,10605,0,24615,0,0,0,0,0,0,178065,57444,0,0,4862,27265,0,0,37844,11033,119896,1098728,0,1223,63440,86253,25967,0,0,0,0,69502,919079,0,0,109936,164293,343729,10469,0,0,49615,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,3188,681974,0,241,0,428947,13075,0,0,966,75205,13291,15471,11047,0,0,0,92567,0,0,0,0,0,0,0,0,318888,0,"Eubacterium sp. CAG:274"
"Limosilactobacillus mucosae",0,0,0,0,0,1933,967814,0,86,46528,0,0,10615,0,0,0,2473,6540,0,0,12656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7337,0,52462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,0,0,0,0,0,0,0,59455,392416,4326,0,0,0,0,0,0,0,50864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Limosilactobacillus mucosae"
"Dialister succinatiphilus",0,0,0,0,0,1089,181,0,0,854,0,3147897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dialister succinatiphilus"
"Prevotella sp. CAG:617",0,0,0,0,0,724,75,0,0,98,0,3120749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prevotella sp. CAG:617"
"Veillonella atypica",0,0,0,0,0,584,0,0,0,87487,0,0,0,0,33250,0,1816,0,0,0,87817,0,0,0,0,0,0,0,15162,0,202598,0,833444,85957,4965,0,0,0,0,19691,1931,0,0,0,164,0,368170,0,58970,0,0,3435,2775,1492,0,304389,0,12194,0,0,0,0,7756,0,0,0,15490,0,2609,0,6013,127897,0,0,5079,0,0,2074757,1422992,277813,0,0,0,0,0,165213,47728,0,1208,0,22223,0,964311,0,41305,9939,0,9469,13677,7533,1237,631954,0,0,333851,17516,0,0,0,0,230386,0,0,0,0,0,0,32012,110637,0,10937,0,0,0,0,0,0,3256,"Veillonella atypica"
"Sarcina ventriculi",0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,4889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sarcina ventriculi"
"Parabacteroides sp. CAG:409",0,0,0,0,0,162,0,0,0,0,0,2242606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258564,676270,0,0,0,23728,0,0,0,3477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141222,0,0,0,0,595209,0,0,0,0,0,0,0,0,0,73212,0,0,0,0,0,0,0,0,0,0,20860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17847,0,0,0,117725,0,0,"Parabacteroides sp. CAG:409"
"Enterococcus faecium",0,0,0,0,0,0,219848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,72669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24714,0,0,0,0,0,0,0,46101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371609,"Enterococcus faecium"
"Atopobium deltae",0,0,0,0,0,0,56755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22383,0,0,0,0,0,0,0,0,0,0,0,0,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Atopobium deltae"
"Porphyromonas sp. HMSC065F10",0,0,0,0,0,0,17382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Porphyromonas sp. HMSC065F10"
"Parabacteroides johnsonii",0,0,0,0,0,0,9993,0,0,9584,0,0,0,0,0,0,0,0,0,0,0,0,857607,1594,0,0,0,14606,0,0,0,0,0,0,0,0,0,0,0,0,0,255798,0,2152,0,58665,0,0,0,0,0,0,0,0,0,0,0,0,22492,277832,0,0,0,0,745,0,0,0,0,0,145945,0,0,0,0,0,52914,402,0,0,0,0,0,0,121863,0,894,1079,0,0,0,645,0,0,0,0,0,8945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17502,0,0,0,0,93017,0,0,22596,0,0,0,"Parabacteroides johnsonii"
"Streptococcus mitis",0,0,0,0,0,0,9025,4109,0,22026,0,22372,0,29880,0,5035,0,0,1326,4005,6074,0,9169,1312,0,1612,10418,0,35135,0,18126,0,28860,0,28297,4424,1163,0,5827,6968,2035,650,296,0,40164,1890,0,0,20847,5484,0,306,9595,3085,0,972,0,1009,16935,1156,1939,5939,0,0,0,2771,0,0,0,4531,0,741,1127,7100,0,0,3688,8507,0,13668,521,0,0,0,0,0,0,0,0,0,0,0,27988,2254,7647,0,0,270146,18402,1798,0,4720,0,4423,8224,318,0,0,418,0,2596,0,0,7021,0,4511,0,0,602,4434,6899,0,30704,0,8589,0,0,2356,"Streptococcus mitis"
"Prevotella bivia",0,0,0,0,0,0,3891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40148,0,0,0,0,0,0,0,0,0,0,0,0,0,142175,0,0,0,0,0,0,61760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57553,0,0,0,0,0,0,0,"Prevotella bivia"
"Enterococcus faecalis",0,0,0,0,0,0,3229,0,0,0,0,0,1009,0,0,0,0,0,0,0,0,0,0,0,0,17674,0,0,9426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3495,0,585,0,4254,0,0,0,0,0,0,0,0,0,0,0,6208,0,0,0,0,0,0,4275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0,0,7383,0,0,0,0,0,0,0,4570,18768,0,338,1310,0,0,"Enterococcus faecalis"
"Scardovia wiggsiae",0,0,0,0,0,0,1986,0,0,0,0,0,0,436,0,21861,0,0,0,0,0,0,0,0,0,0,0,0,4719,0,0,0,0,0,1020,0,0,0,0,312,0,3538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4245,53946,8316,0,0,8061,0,0,0,0,0,0,0,0,0,0,0,0,1867,0,0,0,0,0,0,0,0,0,0,0,0,"Scardovia wiggsiae"
"Actinomyces sp. HPA0247",0,0,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4827,0,0,0,2457,0,0,0,0,0,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,"Actinomyces sp. HPA0247"
"Firmicutes bacterium CAG:94",0,0,0,0,0,0,487,0,0,547,0,0,0,0,0,15679,0,0,0,0,0,0,0,0,0,0,9092,19421,0,0,0,4270,0,0,0,0,77291,0,0,0,0,0,0,4755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11886,24578,0,0,7799,0,7495,0,0,0,8126,0,0,37154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,0,0,0,0,0,8384,0,0,0,0,0,6259,0,0,0,0,0,0,388,0,437,7201,0,0,0,51384,0,0,0,0,0,0,0,0,0,0,20067,0,0,0,"Firmicutes bacterium CAG:94"
"Abiotrophia sp. HMSC24B09",0,0,0,0,0,0,50,0,0,0,0,0,0,5844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11277,0,0,0,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abiotrophia sp. HMSC24B09"
"Butyricicoccus pullicaecorum",0,0,0,0,0,0,0,268955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40060,0,0,0,21523,5860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Butyricicoccus pullicaecorum"
"Fusobacterium mortiferum",0,0,0,0,0,0,0,200759,161981,29476,3548,0,0,1338696,0,0,0,0,4127286,0,5595,0,0,0,1998,0,0,0,9116,672894,6202,0,0,37111,0,0,0,0,0,0,0,14427,4420165,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81542,0,0,0,0,0,0,0,0,0,0,0,0,7619,138347,273644,0,7419,0,0,65850,0,0,193077,0,0,0,0,0,0,0,0,0,0,62188,512142,"Fusobacterium mortiferum"
"Rothia mucilaginosa",0,0,0,0,0,0,0,15511,0,17145,0,94589,0,14963,0,0,0,0,0,57,1141,0,0,0,298,3084,3438,0,10369,0,0,0,13255,0,68310,0,0,0,29257,0,18997,0,0,0,6943,1572,0,53439,3205,1331,0,0,0,7777,1591,7058,0,0,1270,0,2999,0,14627,3633,258,1459,538,3932,815,204,0,0,0,904,0,0,3113,16017,1506,11412,29132,0,870,0,0,1108,0,0,1812,0,177,0,23923,3932,0,1531,0,20548,0,212,0,0,0,0,732,283,0,0,0,0,10339,0,0,0,0,0,0,0,69857,4428,21295,0,3876,8340,944,0,935,0,"Rothia mucilaginosa"
"Aggregatibacter segnis",0,0,0,0,0,0,0,11762,0,0,0,0,0,16821,11407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997,0,0,0,0,0,0,0,0,0,0,809,0,0,0,2735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4577,0,0,0,0,0,0,0,0,0,0,0,0,1067,0,0,0,0,0,0,0,0,0,0,0,0,0,35499,0,0,0,1425,0,0,0,0,3054,0,0,0,4349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,0,0,0,0,0,"Aggregatibacter segnis"
"Acidaminococcus sp. CAG:542",0,0,0,0,0,0,0,4602,0,0,0,0,0,0,0,0,1794,0,0,0,4386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,7329,0,0,114245,0,0,0,0,0,0,0,0,0,0,0,0,0,170081,0,79925,0,323,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,0,"Acidaminococcus sp. CAG:542"
"Clostridioides difficile",0,0,0,0,0,0,0,4427,0,0,0,0,0,0,0,0,0,0,0,127215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clostridioides difficile"
"Shewanella algae",0,0,0,0,0,0,0,3917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shewanella algae"
"Clostridium bolteae CAG:59",0,0,0,0,0,0,0,1165,12766,1248,0,0,0,5202,12283,0,0,0,0,0,0,0,0,0,12782,0,0,0,0,636,0,0,0,0,0,0,942,0,0,116556,0,73312,119526,0,0,0,0,0,535,0,767,0,774376,42216,0,0,112847,0,0,212,0,0,0,0,0,9928,13092,0,0,0,3526,0,2950,0,0,0,9479,0,1456,129809,0,4661,0,0,0,0,3477,2380,8395,0,0,0,0,39786,466,0,0,0,0,0,27128,0,0,0,0,0,0,0,0,9661,0,0,14332,2231,66343,0,3193,4942,11263,616344,0,0,0,0,217,17804,5979,0,"Clostridium bolteae CAG:59"
"Subdoligranulum variabile",0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Subdoligranulum variabile"
